stk_code,stk_name,pub_date,title,pdf_url,effective_date,prev_conv_price,new_conv_price
300239,东宝生物,20260518,关于“东宝转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-19/1225312714.PDF,20260519,,6.62
300243,瑞丰高材,20250711,关于瑞丰转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-11/1224145553.PDF,20250712,,11.64
300246,宝莱特,20260227,关于董事会提议向下修正宝莱转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-02-28/1224988029.PDF,20260228,,40.54
300246,宝莱特,20260316,关于向下修正可转换公司债券转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-03-16/1225011907.PDF,20260317,,23.97
300246,宝莱特,20260602,关于董事会提议向下修正宝莱转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-03/1225346165.PDF,20260603,,40.54
300246,宝莱特,20260618,关于向下修正可转换公司债券转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-18/1225378383.PDF,20260619,,23.8
300253,卫宁健康,20250527,关于卫宁转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-27/1223695721.PDF,20250528,,17.45
300253,卫宁健康,20260311,关于董事会提议向下修正卫宁转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-03-12/1225004750.PDF,20260312,,17.76
300253,卫宁健康,20260327,关于向下修正卫宁转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-03-27/1225044130.PDF,20260328,,17.31
300253,卫宁健康,20260403,关于卫宁转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-04-03/1225080415.PDF,20260404,,9.43
300253,卫宁健康,20260622,关于董事会提议向下修正卫宁转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225380438.PDF,20260623,,17.76
